,time_trial1_(hrs),tumor_cells_trial1_(ci),cart_cells_trial1_(ci),time_trial2_(hrs),tumor_cells_trial2_(ci),cart_cells_trial2_(ci)
21,37.339722,1.993134581370104,0.4383085348511898,37.339722,2.0744490337797115,0.43283941090406436
22,37.589722,2.0277493046996433,0.4454653478025844,37.589722,2.1054682755937937,0.43986852755241723
23,37.84,2.0604143027798374,0.45246878718100925,37.84,2.134849836877492,0.446752020458985
24,38.090278,2.0908895622806094,0.45931240085638203,38.090278,2.162419555221179,0.4534834746223585
25,38.340278,2.1189447963085866,0.46599044661650735,38.340278,2.1880113161054386,0.4600571503706985
26,38.590556,2.144442094088813,0.47251937144546047,38.590556,2.2115433728594542,0.46648915337481756
27,38.840556,2.1671248036042474,0.4788862637915926,38.840556,2.2328249908984246,0.4727666783651079
28,39.090833,2.186893105461582,0.48510685408338383,39.090833,2.2517992507083995,0.4789051481362742
29,39.340833,2.2037532410712593,0.49116896539262667,39.340833,2.2684577318858463,0.48489245850546886
30,39.591111,2.2178427167240358,0.49708764970487274,39.591111,2.2829054527150268,0.490743386249326
31,39.841111,2.2292301782617763,0.5028513511358809,39.841111,2.2951782667083553,0.4964464169741632
32,40.091389,2.2380410456429454,0.5084744831679381,40.091389,2.3053715189220974,0.5020157200362606
33,40.341667,2.2443613670488824,0.513952150786981,40.341667,2.313538486942427,0.5074463624717268
34,40.591389,2.248285174197659,0.5192742595566845,40.591389,2.3197356110591296,0.512728222805744
35,40.841667,2.2499299411819385,0.5244661021037691,40.841667,2.324058474078166,0.5178863053474376
36,41.091389,2.249388065674615,0.5295061995789884,41.091389,2.32655565526793,0.5228991724750305
37,41.341667,2.2467571362992547,0.5344185888263946,41.341667,2.3273062617673,0.5277906306838966
38,41.591667,2.242142350423103,0.5391882608991085,41.591667,2.3263727973955732,0.5325456423798651
39,41.841944,2.2356335686550177,0.5438274002914655,41.841944,2.3238212497824793,0.5371762502801869
40,42.092222,2.227334970514756,0.5483322606184763,42.092222,2.319719825871764,0.5416786183941776
41,42.341944,2.21737075299849,0.552694852574975,42.341944,2.3141506411784816,0.5460446340386857
42,42.591389,2.205837595913871,0.5569222953420331,42.591389,2.307182430762821,0.5502812822403698
43,42.841389,2.192794020616056,0.5610300588319175,42.841389,2.298857338383598,0.55440396460255
44,43.091667,2.1783470362203605,0.5650145392371542,43.091667,2.289245853856946,0.5584089801889669
45,43.341667,2.1626286831610075,0.5688684775648474,43.341667,2.2784372789335494,0.5622889153545432
46,43.591944,2.1457041679307602,0.5726020253135398,43.591944,2.2664756756443665,0.5660538700843322
47,43.841944,2.127710899443038,0.5762085107415529,43.841944,2.2534554708914833,0.5696969940835105
48,44.092222,2.10870902022632,0.5796975345169986,44.092222,2.2394158036153886,0.573227860195211
49,44.3425,2.0888181393032594,0.5830666146237812,44.3425,2.2244386819560322,0.5766438392752578
50,44.5925,2.068161814486972,0.5863138018146536,44.5925,2.2086102780621673,0.5799428124876238
51,44.842778,2.046794200355071,0.589447912844233,44.842778,2.1919634398814773,0.583133602564682
52,45.092778,2.0248627117260014,0.592463577840413,45.092778,2.174603098411451,0.5862106046874733
53,45.342778,2.0024438312252784,0.5953659337118706,45.342778,2.15657908148601,0.589178907126251
54,45.592778,1.9796374123313398,0.5981565716322909,45.592778,2.1379592757356285,0.5920399921229984
55,45.842778,1.9565433085226234,0.6008370827753584,45.842778,2.1188115677907797,0.5947953419196987
56,46.093056,1.9332215944381785,0.6034118585294371,46.093056,2.0991736057226626,0.597449329299253
